Number of bedrooms,Number of bathrooms,Area,number of floors,Built Year,Price
5,2.5,9050,2,1921,2380000
4,2.5,4000,1.5,1909,1400000
5,2.75,9480,1.5,1939,1200000
4,2.5,42998,2,2001,838000
3,2,4500,1.5,1929,805000
3,2.5,4750,1,1951,790000
5,3.25,11995,2,2006,785000
3,1.75,10578,2,1923,750000
3,2.5,6550,1,1955,750000
4,2.25,11250,1.5,1920,698000
5,2.5,67518,2,1979,675000
4,2,5000,1.5,1945,650000
4,2,6200,1.5,1945,640000
4,2.75,37277,2,2000,630000
3,2.25,1572,2.5,2005,626000
4,2.5,8408,2,2014,625000
4,3.25,54014,1,2007,625000
3,1.75,7291,1,1948,615000
4,2.5,12261,2,1991,612500
3,2.5,33151,2,1995,604000
3,1.75,14892,1,1980,588500
4,2.5,6500,2,2012,555000
4,2.5,10500,1,1976,550000
3,1.75,35200,1.5,1979,550000
4,2.5,3345,2,2004,499950
4,1.75,6380,1,1959,495000
4,1.75,125452,1,1968,491500
2,1,6380,1,1938,490000
4,2.5,35868,2,1989,482000
5,2.5,9655,1,1976,470000
3,1.75,7320,1,1948,463000
3,2.5,5539,2,2013,459990
3,2.5,88426,1,1985,452500
3,2.5,1180,3,2001,445700
4,2.25,8119,1,1966,440000
2,1,4850,1,1944,440000
3,2.5,2875,2,1990,439950
3,2.25,35100,2,1977,437500
3,2.5,1235,3,2007,436110
4,1,8800,1,1954,435000
4,1.5,10000,1,1954,430000
3,2.25,8030,1,1963,420000
3,1.5,6700,1,1956,419000
3,2.5,10460,2,1996,407500
3,2,13100,1,1957,403000
4,2.5,42884,1.5,1979,400000
3,3.25,1327,2,2008,385000
4,1.75,8700,1,1967,382500
4,3,7231,2,1997,367500
3,1,6435,1,1955,365000
3,2,11947,1,1966,342000
2,2,2560,1,1976,335000
3,2.25,16215,1,1978,335000
3,1,9180,1,1968,315000
3,1.5,7912,1.5,1955,313000
2,1,6174,1,1950,308500
3,2.5,5050,2,2006,300000
2,2.5,1368,2,2009,295000
3,3,19966,1,1992,287200
4,2.5,9397,2,1987,285000
3,2.5,10834,1,1987,285000
3,1.75,23103,1,1968,284000
3,1.5,10277,1,1983,275000
4,2,8625,1,1974,260000
3,1.75,5858,1,1987,257950
3,1.5,9720,1,1965,242500
2,1,9400,1,1949,235000
4,2.75,6605,2,2012,625000
2,1,5000,1,1944,553000
3,2.5,14054,1,1986,379880
3,1,9945,1,1973,310000
3,2.5,7130,2,1980,783500
2,2.5,7392,1,2004,775000
4,2,6010,1,1900,628000
3,2.5,7350,1,1988,365000
4,2.5,9933,2,1990,331950
7,8,307752,3,1999,2280000
2,2.5,4000,2,2000,1430000
5,3.5,8510,2,1971,1400000
4,2.5,141570,2.5,1992,1090000
5,2.75,16920,1,1976,1030000
3,1,77972,1,1928,900000
4,4.25,5750,2,2006,890000
5,3.5,6000,2,2006,890000
4,3,9892,2,1998,865000
4,2.75,5390,1,1960,855000
4,3,4000,2,1982,831000
4,2.5,9692,2,2007,830000
6,1.75,5000,2.5,1908,823000
5,2.5,13806,2,1990,800866
3,2.5,7857,2,1994,800000
3,1.75,7500,1,1961,787000
4,2.5,10281,2,1996,780000
3,2,5700,1.5,1939,770000
4,2.5,10202,1,1960,755000
4,1.75,3600,1.5,1902,740000
4,2.5,21904,2,2000,736500
4,2.5,4247,2,2013,712198
3,2.5,4343,2,2003,705380
3,2.5,2000,3,1909,670000
4,2.5,5900,1,1963,665000
4,1,4240,1,1924,657100
3,1.5,9000,1,1949,650000
4,2.5,6651,2,2014,631625
4,2.25,7712,1,1973,627000
3,1.75,2185,2.5,2005,620000
3,2,5000,1,1942,618500
4,1.75,11700,1,1977,615000
3,1.75,39639,1,1976,600000
3,1.75,6360,1,1945,600000
2,1,8640,1.5,1949,585000
2,1,7000,1,1942,580000
3,2.25,6000,1,1975,570000
3,2.5,8744,2,1987,560000
3,2.5,3211,2,2009,555000
2,1,5400,1,1908,549000
4,2.5,6338,2,2008,549000
5,2.75,8426,1,1960,541125
2,3,1175,2,2000,531000
5,1.75,71874,1,1960,525888
3,1.75,5520,1,1944,524000
3,2.5,2700,2,2010,509900
4,1,7519,1,1963,501000
4,2.5,6479,2,2006,499000
6,2.75,9200,1,1953,497300
4,1.75,9211,1,1977,487585
4,3,7048,1,1979,485000
3,2.5,4535,2,2007,478000
4,2,3844,1.5,1928,449250
5,2,9240,1,1942,435000
2,2.5,1426,2,2014,419190
3,2,6030,1.5,1930,418000
3,2.5,989,3,2005,416286
3,2.25,998,2.5,2010,415000
3,2.25,36704,1,1978,410000
3,2.25,1332,3,2005,406100
2,3,1240,2,2006,405000
